Sample Number: 0
x[5] = 0.74193 | u[5] = 0.26508
x[6] = 0.24135 | u[6] = -0.16754
x[7] = 0.29608 | u[7] = -0.13590
x[8] = 0.24106 | u[8] = -0.22124
x[9] = 0.43007 | u[9] = 0.00051
x[10] = 0.18780 | u[10] = -0.22594
x[11] = 0.43172 | u[11] = 0.02011
x[12] = 0.58020 | u[12] = 0.11838
x[13] = 0.36978 | u[13] = -0.10514
x[14] = 0.58178 | u[14] = 0.13402
x[15] = 0.50636 | u[15] = 0.08997
x[16] = 0.20212 | u[16] = -0.21381
x[17] = 0.51854 | u[17] = 0.06581
x[18] = 0.33929 | u[18] = -0.11469
x[19] = 0.42214 | u[19] = -0.00299
Sample Number: 240
x[0] = 0.49993 | u[0] = 0.06976
x[1] = 0.59458 | u[1] = 0.12556
x[2] = 0.36163 | u[2] = -0.08244
x[3] = 0.48694 | u[3] = 0.01954
x[4] = 0.68499 | u[4] = 0.22389
x[5] = 0.73534 | u[5] = 0.26066
x[6] = 0.24551 | u[6] = -0.16394
x[7] = 0.29945 | u[7] = -0.13282
x[8] = 0.24653 | u[8] = -0.21546
x[9] = 0.43007 | u[9] = -0.00065
x[10] = 0.19340 | u[10] = -0.22122
x[11] = 0.43123 | u[11] = 0.01948
x[12] = 0.57726 | u[12] = 0.11580
x[13] = 0.37236 | u[13] = -0.10124
x[14] = 0.57845 | u[14] = 0.13162
x[15] = 0.50413 | u[15] = 0.08800
x[16] = 0.20741 | u[16] = -0.20829
x[17] = 0.51691 | u[17] = 0.06447
x[18] = 0.34212 | u[18] = -0.11185
x[19] = 0.42224 | u[19] = -0.00439
Sample Number: 250
x[0] = 0.49820 | u[0] = 0.06793
x[1] = 0.59148 | u[1] = 0.12214
x[2] = 0.36367 | u[2] = -0.08021
x[3] = 0.48647 | u[3] = 0.01797
x[4] = 0.67946 | u[4] = 0.21737
x[5] = 0.72886 | u[5] = 0.25629
x[6] = 0.24957 | u[6] = -0.16041
x[7] = 0.30274 | u[7] = -0.12982
x[8] = 0.25186 | u[8] = -0.20982
x[9] = 0.43010 | u[9] = -0.00177
x[10] = 0.19889 | u[10] = -0.21661
x[11] = 0.43075 | u[11] = 0.01886
x[12] = 0.57439 | u[12] = 0.11327
x[13] = 0.37485 | u[13] = -0.09746
x[14] = 0.57518 | u[14] = 0.12926
x[15] = 0.50194 | u[15] = 0.08607
x[16] = 0.21256 | u[16] = -0.20290
x[17] = 0.51531 | u[17] = 0.06316
x[18] = 0.34489 | u[18] = -0.10907
x[19] = 0.42237 | u[19] = -0.00572
Sample Number: 260
x[0] = 0.49652 | u[0] = 0.06614
x[1] = 0.58846 | u[1] = 0.11880
x[2] = 0.36565 | u[2] = -0.07803
x[3] = 0.48604 | u[3] = 0.01647
x[4] = 0.67410 | u[4] = 0.21103
x[5] = 0.72249 | u[5] = 0.25198
x[6] = 0.25355 | u[6] = -0.15696
x[7] = 0.30596 | u[7] = -0.12690
x[8] = 0.25705 | u[8] = -0.20432
x[9] = 0.43016 | u[9] = -0.00283
x[10] = 0.20426 | u[10] = -0.21210
x[11] = 0.43028 | u[11] = 0.01827
x[12] = 0.57158 | u[12] = 0.11079
x[13] = 0.37724 | u[13] = -0.09382
x[14] = 0.57196 | u[14] = 0.12693
x[15] = 0.49981 | u[15] = 0.08418
x[16] = 0.21758 | u[16] = -0.19765
x[17] = 0.51374 | u[17] = 0.06189
x[18] = 0.34759 | u[18] = -0.10637
x[19] = 0.42253 | u[19] = -0.00698
Sample Number: 270
x[0] = 0.49488 | u[0] = 0.06440
x[1] = 0.58552 | u[1] = 0.11555
x[2] = 0.36758 | u[2] = -0.07591
x[3] = 0.48565 | u[3] = 0.01502
x[4] = 0.66889 | u[4] = 0.20487
x[5] = 0.71622 | u[5] = 0.24773
x[6] = 0.25744 | u[6] = -0.15358
x[7] = 0.30910 | u[7] = -0.12403
x[8] = 0.26210 | u[8] = -0.19896
x[9] = 0.43025 | u[9] = -0.00384
x[10] = 0.20952 | u[10] = -0.20768
x[11] = 0.42983 | u[11] = 0.01769
x[12] = 0.56884 | u[12] = 0.10836
x[13] = 0.37955 | u[13] = -0.09029
x[14] = 0.56881 | u[14] = 0.12464
x[15] = 0.49772 | u[15] = 0.08235
x[16] = 0.22247 | u[16] = -0.19253
x[17] = 0.51221 | u[17] = 0.06064
x[18] = 0.35022 | u[18] = -0.10374
x[19] = 0.42272 | u[19] = -0.00818
Sample Number: 280
x[0] = 0.49329 | u[0] = 0.06270
x[1] = 0.58267 | u[1] = 0.11238
x[2] = 0.36946 | u[2] = -0.07385
x[3] = 0.48529 | u[3] = 0.01364
x[4] = 0.66383 | u[4] = 0.19888
x[5] = 0.71006 | u[5] = 0.24354
x[6] = 0.26125 | u[6] = -0.15026
x[7] = 0.31217 | u[7] = -0.12124
x[8] = 0.26702 | u[8] = -0.19374
x[9] = 0.43036 | u[9] = -0.00481
x[10] = 0.21467 | u[10] = -0.20335
x[11] = 0.42939 | u[11] = 0.01713
x[12] = 0.56615 | u[12] = 0.10598
x[13] = 0.38177 | u[13] = -0.08689
x[14] = 0.56571 | u[14] = 0.12239
x[15] = 0.49568 | u[15] = 0.08055
x[16] = 0.22723 | u[16] = -0.18754
x[17] = 0.51070 | u[17] = 0.05943
x[18] = 0.35279 | u[18] = -0.10118
x[19] = 0.42294 | u[19] = -0.00933
Sample Number: 290
x[0] = 0.49174 | u[0] = 0.06105
x[1] = 0.57989 | u[1] = 0.10930
x[2] = 0.37128 | u[2] = -0.07184
x[3] = 0.48497 | u[3] = 0.01231
x[4] = 0.65892 | u[4] = 0.19306
x[5] = 0.70401 | u[5] = 0.23941
x[6] = 0.26497 | u[6] = -0.14702
x[7] = 0.31518 | u[7] = -0.11851
x[8] = 0.27181 | u[8] = -0.18864
x[9] = 0.43049 | u[9] = -0.00572
x[10] = 0.21972 | u[10] = -0.19912
x[11] = 0.42897 | u[11] = 0.01658
x[12] = 0.56353 | u[12] = 0.10364
x[13] = 0.38390 | u[13] = -0.08360
x[14] = 0.56267 | u[14] = 0.12016
